danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,added_at,albumid,artists,genre,imagehref,trackName,popularity
0.38,0.553,7,-6.621,1,0.0653,0.421,0.00000263,0.0788,0.384,179.629,audio_features,3ZD3kjn80pQ9keYO8eqp9d,spotify:track:3ZD3kjn80pQ9keYO8eqp9d,https://api.spotify.com/v1/tracks/3ZD3kjn80pQ9keYO8eqp9d,https://api.spotify.com/v1/audio-analysis/3ZD3kjn80pQ9keYO8eqp9d,189333,4,2017-02-09T06:38:26Z,5jDywdhHpj1DPdZZ8zX1dj,Lauv,pop,https://i.scdn.co/image/ab67616d0000b273cda454a4644a0013705de828,The Other,9
0.647,0.735,7,-6.751,1,0.0322,0.0449,0,0.151,0.263,94.962,audio_features,1IgRBzSwvEYYbJvV1D1XvU,spotify:track:1IgRBzSwvEYYbJvV1D1XvU,https://api.spotify.com/v1/tracks/1IgRBzSwvEYYbJvV1D1XvU,https://api.spotify.com/v1/audio-analysis/1IgRBzSwvEYYbJvV1D1XvU,271754,4,2017-02-06T14:37:15Z,1irR69koHNOZtzO5vXY2Ru,NICKTHEREAL,mandopop,https://i.scdn.co/image/7e6cfcfa7154cfff011d9fa0235ffb392de54cbe,I Say BABY,29
0.566,0.691,9,-6.109,1,0.0299,0.0096,0,0.115,0.186,117.945,audio_features,59GpW64Nx6KG38rjcPfO8T,spotify:track:59GpW64Nx6KG38rjcPfO8T,https://api.spotify.com/v1/tracks/59GpW64Nx6KG38rjcPfO8T,https://api.spotify.com/v1/audio-analysis/59GpW64Nx6KG38rjcPfO8T,250368,4,2017-02-06T14:35:55Z,1irR69koHNOZtzO5vXY2Ru,NICKTHEREAL,mandopop,https://i.scdn.co/image/7e6cfcfa7154cfff011d9fa0235ffb392de54cbe,需要你的美,39
0.687,0.938,1,-3.519,1,0.0309,0.00555,0.000025,0.165,0.829,128.01,audio_features,2p8Gv5kcj0Niy25cMLeAqf,spotify:track:2p8Gv5kcj0Niy25cMLeAqf,https://api.spotify.com/v1/tracks/2p8Gv5kcj0Niy25cMLeAqf,https://api.spotify.com/v1/audio-analysis/2p8Gv5kcj0Niy25cMLeAqf,228507,4,2017-02-05T13:18:56Z,7aePcBQv1XW0E3Yey84tWB,Jolin Tsai,mandopop,https://i.scdn.co/image/ab67616d0000b273c97c7ffa6695b0c6fb594ece,日不落,23
0.714,0.75,0,-4.288,0,0.0363,0.338,0.00000317,0.0539,0.786,119.972,audio_features,0DBKBvckLJymT7qCt4krbq,spotify:track:0DBKBvckLJymT7qCt4krbq,https://api.spotify.com/v1/tracks/0DBKBvckLJymT7qCt4krbq,https://api.spotify.com/v1/audio-analysis/0DBKBvckLJymT7qCt4krbq,215293,4,2017-02-05T13:18:47Z,7aePcBQv1XW0E3Yey84tWB,Jolin Tsai,mandopop,https://i.scdn.co/image/ab67616d0000b273c97c7ffa6695b0c6fb594ece,馬德里不思議,22
0.379,0.69,4,-4.79,1,0.0549,0.0286,0,0.335,0.288,173.716,audio_features,0YAMQSmHk6BSUGTYpaoqTJ,spotify:track:0YAMQSmHk6BSUGTYpaoqTJ,https://api.spotify.com/v1/tracks/0YAMQSmHk6BSUGTYpaoqTJ,https://api.spotify.com/v1/audio-analysis/0YAMQSmHk6BSUGTYpaoqTJ,295600,4,2017-01-23T13:16:32Z,4OKBuE9F8MTCV7nnsBRcsK,ONE OK ROCK,j-pop,https://i.scdn.co/image/ab67616d0000b2733e4b149dd3110f1432bfeca0,Wherever you are,62
0.646,0.644,2,-6.763,1,0.031,0.0243,0,0.0888,0.251,99.999,audio_features,15vzANxN8G9wWfwAJLLMCg,spotify:track:15vzANxN8G9wWfwAJLLMCg,https://api.spotify.com/v1/tracks/15vzANxN8G9wWfwAJLLMCg,https://api.spotify.com/v1/audio-analysis/15vzANxN8G9wWfwAJLLMCg,221520,4,2017-01-20T07:05:34Z,64vx3cUb97lQGlgt8zozWL,The Chainsmokers,edm,https://i.scdn.co/image/ab67616d0000b273e1b22ace42c98117458010b4,Paris,77
0.853,0.56,1,-4.961,1,0.0406,0.013,0,0.0944,0.86,134.066,audio_features,0KKkJNfGyhkQ5aFogxQAPU,spotify:track:0KKkJNfGyhkQ5aFogxQAPU,https://api.spotify.com/v1/tracks/0KKkJNfGyhkQ5aFogxQAPU,https://api.spotify.com/v1/audio-analysis/0KKkJNfGyhkQ5aFogxQAPU,206693,4,2017-01-19T13:44:34Z,4PgleR09JVnm3zY1fW3XBA,Bruno Mars,dance pop,https://i.scdn.co/image/ab67616d0000b273232711f7d66a1e19e89e28c5,That's What I Like,83
0.791,0.512,0,-7.58,1,0.0358,0.273,0,0.0883,0.812,94.02,audio_features,2Fk904qKExokHGtXHGpdkM,spotify:track:2Fk904qKExokHGtXHGpdkM,https://api.spotify.com/v1/tracks/2Fk904qKExokHGtXHGpdkM,https://api.spotify.com/v1/audio-analysis/2Fk904qKExokHGtXHGpdkM,250888,4,2017-01-19T13:41:06Z,1wYZSLgnnK0b47XSsrS7Xs,Matzka,taiwan pop,https://i.scdn.co/image/ab67616d0000b27376dde82dfa5c29a70c5aec74,原來,30
0.527,0.819,9,-5.371,1,0.034,0.0329,0.0576,0.0799,0.117,126.019,audio_features,4xRxj8myDxZb85dMeCQGWV,spotify:track:4xRxj8myDxZb85dMeCQGWV,https://api.spotify.com/v1/tracks/4xRxj8myDxZb85dMeCQGWV,https://api.spotify.com/v1/audio-analysis/4xRxj8myDxZb85dMeCQGWV,211429,4,2017-01-15T03:33:14Z,1Z0KvxdQdB4yF68aG4vVqv,Dirty South,australian dance,https://i.scdn.co/image/ab67616d0000b273f8c4689a2d0eeb3c09bfdac7,Find a Way (feat. Rudy),45
